reg_no | sem | branch_code | subject_code | subject_name | subject_type | credit | old_shown_grade | new_shown_grade | should_be_grade | shown_gp | corrected_gp | delta_points | new_ese | new_ia | new_total | old_result_url | new_result_url
21101103012 | IV | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | practical | PRACTICAL_100_SPECIAL | 2.00 | F | D | C | 6 | 7 | 2.00 | 38^ | 24 | 62 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101103012 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101103012&exam_held=December%2F2025
21101106003 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 30^ | 27 | 57 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101106003 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101106003&exam_held=December%2F2025
21101106007 | IV | 101 | 101403 | Engineering Geology | theory | THEORY_100 | 2.00 | F | D | C | 6 | 7 | 2.00 | 36^ | 28 | 64 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101106007 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101106007&exam_held=December%2F2025
21101106008 | IV | 101 | 101403 | Engineering Geology | theory | THEORY_100 | 2.00 | F | P | D | 5 | 6 | 2.00 | 28^ | 27 | 55 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101106008 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101106008&exam_held=December%2F2025
21101106018 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 28^ | 27 | 55 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101106018 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101106018&exam_held=December%2F2025
21101106027 | IV | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | practical | PRACTICAL_100_SPECIAL | 2.00 | F | D | C | 6 | 7 | 2.00 | 41^ | 22 | 63 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101106027 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101106027&exam_held=December%2F2025
21101106030 | IV | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | practical | PRACTICAL_100_SPECIAL | 2.00 | F | D | C | 6 | 7 | 2.00 | 44^ | 22 | 66 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101106030 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101106030&exam_held=December%2F2025
21101107026 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 35^ | 15 | 50 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101107026 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101107026&exam_held=December%2F2025
21101108011 | IV | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | practical | PRACTICAL_100_SPECIAL | 2.00 | F | D | C | 6 | 7 | 2.00 | 50^ | 16 | 66 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101108011 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101108011&exam_held=December%2F2025
21101109050 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | THEORY_100 | 2.00 | F | C | B | 7 | 8 | 2.00 | 41^ | 30 | 71 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101109050 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101109050&exam_held=December%2F2025
21101109054 | IV | 101 | 101401 | Civil Engineering - Societal & Global Impact | theory | THEORY_100 | 2.00 | F | P | D | 5 | 6 | 2.00 | 37^ | 19 | 56 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101109054 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101109054&exam_held=December%2F2025
21101111047 | IV | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | practical | PRACTICAL_100_SPECIAL | 2.00 | F | D | C | 6 | 7 | 2.00 | 43^ | 24 | 67 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101111047 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101111047&exam_held=December%2F2025
21101111056 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | C | B | 7 | 8 | 4.00 | 53^ | 17 | 70 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101111056 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101111056&exam_held=December%2F2025
21101111057 | IV | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | practical | PRACTICAL_100_SPECIAL | 2.00 | F | D | C | 6 | 7 | 2.00 | 42^ | 21 | 63 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101111057 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101111057&exam_held=December%2F2025
21101111057 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 40^ | 13 | 53 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101111057 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101111057&exam_held=December%2F2025
21101113014 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | D | C | 6 | 7 | 4.00 | 52^ | 9 | 61 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101113014 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101113014&exam_held=December%2F2025
21101113046 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | P | D | 5 | 6 | 4.00 | 47^ | 9 | 56 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101113046 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101113046&exam_held=December%2F2025
21101115005 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 33^ | 26 | 59 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101115005 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101115005&exam_held=December%2F2025
21101117010 | IV | 101 | 101403 | Engineering Geology | theory | THEORY_100 | 2.00 | F | D | C | 6 | 7 | 2.00 | 42^ | 22 | 64 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101117010 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101117010&exam_held=December%2F2025
